Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761894445375;1761919658000;-25212625;furnace4;365;56
1761894445570;1761919658000;-25212430;furnace4;366;55
1761894446763;1761919660000;-25213237;furnace4;367;52
1761894446853;1761919660000;-25213147;furnace4;368;56
1761894447004;1761919660000;-25212996;furnace4;369;55
1761894448239;1761919661000;-25212761;furnace4;370;52
1761894448438;1761919661000;-25212562;furnace4;371;56
1761894448488;1761919661000;-25212512;furnace4;372;55
1761894449769;1761919663000;-25213231;furnace4;373;52
1761894449855;1761919663000;-25213145;furnace4;374;54
1761894449987;1761919663000;-25213013;furnace4;375;55
1761894451246;1761919664000;-25212754;furnace4;376;52
1761894451366;1761919664000;-25212634;furnace4;377;54
1761894451496;1761919664000;-25212504;furnace4;378;55
1761894452842;1761919666000;-25213158;furnace4;379;52
1761894452880;1761919666000;-25213120;furnace4;380;54
1761894453010;1761919666000;-25212990;furnace4;381;55
1761894454378;1761919667000;-25212622;furnace4;382;52
1761894454399;1761919667000;-25212601;furnace4;383;54
1761894454582;1761919667000;-25212418;furnace4;384;55
1761894457859;1761919669000;-25211141;furnace4;385;52
1761894457918;1761919669000;-25211082;furnace4;386;56
1761894458044;1761919669000;-25210956;furnace4;387;54
1761894458624;1761919671000;-25212376;furnace4;388;52
1761894458888;1761919671000;-25212112;furnace4;389;54
1761894458888;1761919671000;-25212112;furnace4;390;55
1761894460135;1761919673000;-25212865;furnace4;391;52
1761894460312;1761919673000;-25212688;furnace4;392;54
1761894460383;1761919673000;-25212617;furnace4;393;55
1761894461652;1761919674000;-25212348;furnace4;394;52
1761894461855;1761919674000;-25212145;furnace4;395;56
1761894461902;1761919674000;-25212098;furnace4;396;55
1761894463161;1761919676000;-25212839;furnace4;397;52
1761894463280;1761919676000;-25212720;furnace4;398;54
1761894463492;1761919676000;-25212508;furnace4;399;55
1761894464684;1761919678000;-25213316;furnace4;400;52
1761894464801;1761919678000;-25213199;furnace4;401;56
1761894464926;1761919678000;-25213074;furnace4;402;55
1761894466358;1761919679000;-25212642;furnace4;404;56
1761894466358;1761919679000;-25212642;furnace4;403;52
1761894466435;1761919679000;-25212565;furnace4;405;55
1761894467681;1761919681000;-25213319;furnace4;406;52
1761894467945;1761919681000;-25213055;furnace4;407;54
1761894467946;1761919681000;-25213054;furnace4;408;55
1761894469188;1761919682000;-25212812;furnace4;409;52
1761894469327;1761919682000;-25212673;furnace4;410;54
1761894469532;1761919682000;-25212468;furnace4;411;55
1761894470698;1761919684000;-25213302;furnace4;412;52
1761894470821;1761919684000;-25213179;furnace4;413;54
1761894470965;1761919684000;-25213035;furnace4;414;55
1761894472218;1761919685000;-25212782;furnace4;415;52
1761894472403;1761919685000;-25212597;furnace4;416;56
1761894472467;1761919685000;-25212533;furnace4;417;55
1761894473720;1761919687000;-25213280;furnace4;418;52
1761894473935;1761919687000;-25213065;furnace4;419;54
1761894473958;1761919687000;-25213042;furnace4;420;55
1761894475227;1761919688000;-25212773;furnace4;421;52
1761894475370;1761919688000;-25212630;furnace4;422;54
1761894475574;1761919688000;-25212426;furnace4;423;55
1761894476742;1761919690000;-25213258;furnace4;424;52
1761894476864;1761919690000;-25213136;furnace4;425;56
1761894477005;1761919690000;-25212995;furnace4;426;55
1761894478242;1761919691000;-25212758;furnace4;427;52
1761894478424;1761919691000;-25212576;furnace4;428;54
1761894478519;1761919691000;-25212481;furnace4;429;55
1761894479763;1761919693000;-25213237;furnace4;430;52
1761894479880;1761919693000;-25213120;furnace4;431;56
1761894480010;1761919693000;-25212990;furnace4;432;55
1761894481309;1761919694000;-25212691;furnace4;433;52
1761894481399;1761919694000;-25212601;furnace4;434;56
1761894481529;1761919694000;-25212471;furnace4;435;55
1761894482787;1761919696000;-25213213;furnace4;436;52
1761894482906;1761919696000;-25213094;furnace4;437;56
1761894483049;1761919696000;-25212951;furnace4;438;55
1761894484305;1761919697000;-25212695;furnace4;439;52
1761894484424;1761919697000;-25212576;furnace4;440;56
1761894484585;1761919697000;-25212415;furnace4;441;55
1761894485911;1761919699000;-25213089;furnace4;442;52
1761894485971;1761919699000;-25213029;furnace4;443;56
1761894486116;1761919699000;-25212884;furnace4;444;55
1761894487319;1761919700000;-25212681;furnace4;445;52
1761894487439;1761919700000;-25212561;furnace4;446;56
1761894487655;1761919700000;-25212345;furnace4;447;55
1761894488841;1761919702000;-25213159;furnace4;448;52
1761894488953;1761919702000;-25213047;furnace4;449;56
1761894489078;1761919702000;-25212922;furnace4;450;55
1761894490334;1761919703000;-25212666;furnace4;451;52
1761894490524;1761919703000;-25212476;furnace4;452;56
1761894490580;1761919703000;-25212420;furnace4;453;55
1761894491843;1761919705000;-25213157;furnace4;454;52
1761894491957;1761919705000;-25213043;furnace4;455;56
1761894492086;1761919705000;-25212914;furnace4;456;55
1761894493342;1761919706000;-25212658;furnace4;457;52
1761894493467;1761919706000;-25212533;furnace4;458;56
