Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761894445378;1761919657000;-25211622;furnace3;339;55
1761894446604;1761919658000;-25211396;furnace3;340;52
1761894446761;1761919658000;-25211239;furnace3;341;56
1761894446853;1761919658000;-25211147;furnace3;342;55
1761894448132;1761919660000;-25211868;furnace3;343;52
1761894448229;1761919660000;-25211771;furnace3;344;56
1761894448438;1761919660000;-25211562;furnace3;345;55
1761894458372;1761919669000;-25210628;furnace3;346;52
1761894458484;1761919669000;-25210516;furnace3;347;56
1761894458615;1761919669000;-25210385;furnace3;348;55
1761894460004;1761919672000;-25211996;furnace3;349;52
1761894460125;1761919672000;-25211875;furnace3;350;56
1761894460312;1761919672000;-25211688;furnace3;351;55
1761894461545;1761919673000;-25211455;furnace3;352;52
1761894461645;1761919673000;-25211355;furnace3;353;56
1761894461855;1761919673000;-25211145;furnace3;354;55
1761894463081;1761919675000;-25211919;furnace3;355;52
1761894463152;1761919675000;-25211848;furnace3;356;56
1761894463280;1761919675000;-25211720;furnace3;357;55
1761894464626;1761919676000;-25211374;furnace3;358;52
1761894464667;1761919676000;-25211333;furnace3;359;56
1761894464801;1761919676000;-25211199;furnace3;360;55
1761894466152;1761919678000;-25211848;furnace3;361;52
1761894466175;1761919678000;-25211825;furnace3;362;56
1761894466357;1761919678000;-25211643;furnace3;363;55
1761894467588;1761919679000;-25211412;furnace3;364;52
1761894467670;1761919679000;-25211330;furnace3;365;56
1761894467944;1761919679000;-25211056;furnace3;366;55
1761894469123;1761919681000;-25211877;furnace3;367;52
1761894469178;1761919681000;-25211822;furnace3;368;56
1761894469327;1761919681000;-25211673;furnace3;369;55
1761894470657;1761919682000;-25211343;furnace3;370;52
1761894470688;1761919682000;-25211312;furnace3;371;56
1761894470820;1761919682000;-25211180;furnace3;372;55
1761894472091;1761919684000;-25211909;furnace3;373;52
1761894472205;1761919684000;-25211795;furnace3;374;56
1761894472403;1761919684000;-25211597;furnace3;375;55
1761894473628;1761919685000;-25211372;furnace3;376;52
1761894473699;1761919685000;-25211301;furnace3;377;56
1761894473936;1761919685000;-25211064;furnace3;378;55
1761894475171;1761919687000;-25211829;furnace3;379;52
1761894475220;1761919687000;-25211780;furnace3;380;56
1761894475370;1761919687000;-25211630;furnace3;381;55
1761894476610;1761919688000;-25211390;furnace3;382;52
