Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761895399617;1761920611000;-25211383;furnace2;304;54
1761895401003;1761920613000;-25211997;furnace2;308;50
1761895401146;1761920613000;-25211854;furnace2;309;54
1761895402522;1761920614000;-25211478;furnace2;313;50
1761895402679;1761920614000;-25211321;furnace2;314;54
1761895404055;1761920616000;-25211945;furnace2;318;50
1761895404167;1761920616000;-25211833;furnace2;319;54
1761895405690;1761920617000;-25211310;furnace2;323;50
1761895405707;1761920617000;-25211293;furnace2;324;54
1761895407066;1761920619000;-25211934;furnace2;328;50
1761895407197;1761920619000;-25211803;furnace2;329;54
1761895408690;1761920620000;-25211310;furnace2;333;50
1761895408817;1761920620000;-25211183;furnace2;334;54
1761895410194;1761920622000;-25211806;furnace2;338;50
1761895410343;1761920622000;-25211657;furnace2;339;54
1761895411724;1761920623000;-25211276;furnace2;343;50
1761895411845;1761920623000;-25211155;furnace2;344;54
1761895413384;1761920625000;-25211616;furnace2;348;50
1761895413485;1761920625000;-25211515;furnace2;349;54
1761895415094;1761920626000;-25210906;furnace2;354;54
1761895415092;1761920626000;-25210908;furnace2;353;50
1761895416381;1761920628000;-25211619;furnace2;358;50
1761895416433;1761920628000;-25211567;furnace2;359;54
1761895419098;1761920629000;-25209902;furnace2;363;50
1761895419660;1761920631000;-25211340;furnace2;368;50
1761895419679;1761920629000;-25209321;furnace2;364;54
1761895419680;1761920631000;-25211320;furnace2;369;54
1761895421068;1761920632000;-25210932;furnace2;373;50
1761895421136;1761920632000;-25210864;furnace2;374;54
1761895423696;1761920634000;-25210304;furnace2;378;50
1761895423697;1761920634000;-25210303;furnace2;379;54
1761895424872;1761920635000;-25210128;furnace2;383;50
1761895424875;1761920635000;-25210125;furnace2;384;54
1761895427622;1761920637000;-25209378;furnace2;388;50
1761895427623;1761920637000;-25209377;furnace2;389;54
1761895427624;1761920638000;-25210376;furnace2;393;50
1761895427624;1761920638000;-25210376;furnace2;394;54
1761895431221;1761920640000;-25208779;furnace2;398;50
1761895431222;1761920641000;-25209778;furnace2;403;50
1761895431224;1761920640000;-25208776;furnace2;399;54
1761895431224;1761920641000;-25209776;furnace2;404;54
1761895431423;1761920643000;-25211577;furnace2;408;50
1761895432116;1761920643000;-25210884;furnace2;409;54
1761895434038;1761920646000;-25211962;furnace2;413;50
1761895434074;1761920646000;-25211926;furnace2;414;54
1761895435480;1761920648000;-25212520;furnace2;418;50
1761895435580;1761920648000;-25212420;furnace2;419;54
1761895438777;1761920649000;-25210223;furnace2;423;50
1761895438778;1761920651000;-25212222;furnace2;428;50
1761895438779;1761920649000;-25210221;furnace2;424;54
1761895438923;1761920651000;-25212077;furnace2;429;54
1761895441675;1761920652000;-25210325;furnace2;433;50
1761895441691;1761920654000;-25212309;furnace2;438;50
1761895441692;1761920652000;-25210308;furnace2;434;54
1761895441730;1761920654000;-25212270;furnace2;439;54
1761895443010;1761920655000;-25211990;furnace2;443;50
1761895443162;1761920655000;-25211838;furnace2;444;54
1761895446003;1761920657000;-25210997;furnace2;448;50
1761895447115;1761920657000;-25209885;furnace2;449;54
1761895448087;1761920658000;-25209913;furnace2;453;50
1761895448088;1761920660000;-25211912;furnace2;458;50
1761895448106;1761920658000;-25209894;furnace2;454;54
1761895448107;1761920660000;-25211893;furnace2;459;54
1761895452268;1761920661000;-25208732;furnace2;463;50
1761895452268;1761920661000;-25208732;furnace2;464;54
1761895453980;1761920663000;-25209020;furnace2;468;50
1761895453993;1761920664000;-25210007;furnace2;473;50
1761895453994;1761920666000;-25212006;furnace2;478;50
1761895454012;1761920663000;-25208988;furnace2;469;54
1761895454027;1761920666000;-25211973;furnace2;479;54
1761895454013;1761920664000;-25209987;furnace2;474;54
1761895455326;1761920667000;-25211674;furnace2;483;50
1761895455452;1761920667000;-25211548;furnace2;484;54
1761895458312;1761920669000;-25210688;furnace2;488;50
1761895458725;1761920669000;-25210275;furnace2;489;54
1761895458726;1761920670000;-25211274;furnace2;494;54
1761895458725;1761920670000;-25211275;furnace2;493;50
1761895460989;1761920672000;-25211011;furnace2;498;50
1761895462099;1761920673000;-25210901;furnace2;503;50
1761895462099;1761920672000;-25209901;furnace2;499;54
1761895462100;1761920673000;-25210900;furnace2;504;54
1761895464076;1761920675000;-25210924;furnace2;508;52
1761895464079;1761920675000;-25210921;furnace2;509;56
1761895464920;1761920677000;-25212080;furnace2;513;50
1761895465164;1761920677000;-25211836;furnace2;514;54
1761895466437;1761920679000;-25212563;furnace2;518;50
1761895466756;1761920679000;-25212244;furnace2;519;54
1761895468037;1761920680000;-25211963;furnace2;523;50
1761895468123;1761920680000;-25211877;furnace2;524;54
1761895469570;1761920682000;-25212430;furnace2;528;50
1761895469571;1761920682000;-25212429;furnace2;529;54
1761895471002;1761920683000;-25211998;furnace2;533;50
1761895471086;1761920683000;-25211914;furnace2;534;54
1761895472483;1761920685000;-25212517;furnace2;538;50
1761895472589;1761920685000;-25212411;furnace2;539;54
1761895474280;1761920686000;-25211720;furnace2;543;50
1761895474281;1761920686000;-25211719;furnace2;544;54
1761895475507;1761920688000;-25212493;furnace2;548;50
1761895475600;1761920688000;-25212400;furnace2;549;54
1761895476993;1761920689000;-25212007;furnace2;553;50
1761895477118;1761920689000;-25211882;furnace2;554;54
1761895478514;1761920691000;-25212486;furnace2;558;50
