Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761895300000;1761920513000;-25213000;furnace1;1;48
1761895300145;1761920513000;-25212855;furnace1;2;52
1761895300786;1761920513000;-25212214;furnace1;5;53
1761895301473;1761920514000;-25212527;furnace1;6;48
1761895301537;1761920514000;-25212463;furnace1;7;52
1761895302038;1761920514000;-25211962;furnace1;10;54
1761895302956;1761920516000;-25213044;furnace1;11;49
1761895303003;1761920516000;-25212997;furnace1;12;53
1761895304218;1761920516000;-25211782;furnace1;15;54
1761895304571;1761920517000;-25212429;furnace1;16;49
1761895304846;1761920517000;-25212154;furnace1;17;53
1761895305218;1761920517000;-25211782;furnace1;20;54
1761895306039;1761920519000;-25212961;furnace1;21;49
1761895306500;1761920519000;-25212500;furnace1;22;53
1761895306503;1761920519000;-25212497;furnace1;25;54
1761895307464;1761920520000;-25212536;furnace1;26;49
1761895307573;1761920520000;-25212427;furnace1;27;53
1761895308165;1761920520000;-25211835;furnace1;30;54
1761895308894;1761920522000;-25213106;furnace1;31;51
1761895309037;1761920522000;-25212963;furnace1;32;55
1761895309480;1761920522000;-25212520;furnace1;35;54
1761895310414;1761920523000;-25212586;furnace1;36;51
1761895310570;1761920523000;-25212430;furnace1;37;55
1761895310950;1761920523000;-25212050;furnace1;40;54
1761895311967;1761920525000;-25213033;furnace1;41;51
1761895312178;1761920525000;-25212822;furnace1;42;55
1761895312484;1761920525000;-25212516;furnace1;45;54
1761895313532;1761920526000;-25212468;furnace1;46;51
1761895313594;1761920526000;-25212406;furnace1;47;55
1761895314007;1761920526000;-25211993;furnace1;50;54
1761895315044;1761920528000;-25212956;furnace1;51;51
1761895315118;1761920528000;-25212882;furnace1;52;55
1761895315516;1761920528000;-25212484;furnace1;55;54
1761895316484;1761920529000;-25212516;furnace1;56;51
1761895316590;1761920529000;-25212410;furnace1;57;55
1761895316990;1761920529000;-25212010;furnace1;60;54
1761895318029;1761920531000;-25212971;furnace1;61;51
1761895318246;1761920531000;-25212754;furnace1;62;55
1761895318543;1761920531000;-25212457;furnace1;65;54
1761895319554;1761920532000;-25212446;furnace1;66;51
1761895319603;1761920532000;-25212397;furnace1;67;55
1761895320056;1761920532000;-25211944;furnace1;70;54
1761895321081;1761920534000;-25212919;furnace1;71;51
1761895321122;1761920534000;-25212878;furnace1;72;55
1761895321525;1761920534000;-25212475;furnace1;75;54
1761895323030;1761920535000;-25211970;furnace1;76;51
1761895323088;1761920535000;-25211912;furnace1;77;55
1761895323547;1761920535000;-25211453;furnace1;80;54
1761895324154;1761920537000;-25212846;furnace1;81;49
1761895324361;1761920537000;-25212639;furnace1;82;53
1761895324773;1761920537000;-25212227;furnace1;85;54
1761895325690;1761920538000;-25212310;furnace1;86;49
1761895325738;1761920538000;-25212262;furnace1;87;53
1761895326134;1761920538000;-25211866;furnace1;90;54
1761895327208;1761920540000;-25212792;furnace1;91;49
1761895327247;1761920540000;-25212753;furnace1;92;53
1761895327645;1761920540000;-25212355;furnace1;95;54
